# fetched_at	origin_slug	destination_slug	travel_date	operator	price_bob	currency	source
2026-07-07T06:00:00Z	santa-cruz	tarija	2026-07-10	SAMA	225.00	BOB	manual-seed
2026-07-07T06:00:00Z	santa-cruz	tarija	2026-07-10	Trans Copacabana	245.00	BOB	manual-seed
2026-07-08T06:00:00Z	santa-cruz	tarija	2026-07-11	SAMA	200.00	BOB	manual-seed
2026-07-08T06:00:00Z	santa-cruz	tarija	2026-07-11	Trans Copacabana	220.00	BOB	manual-seed
2026-07-09T06:00:00Z	santa-cruz	tarija	2026-07-12	SAMA	215.00	BOB	manual-seed
2026-07-09T06:00:00Z	santa-cruz	tarija	2026-07-12	Trans Copacabana	235.00	BOB	manual-seed
2026-07-10T06:00:00Z	santa-cruz	tarija	2026-07-13	SAMA	205.00	BOB	manual-seed
2026-07-10T06:00:00Z	santa-cruz	tarija	2026-07-13	Trans Copacabana	225.00	BOB	manual-seed
2026-07-11T06:00:00Z	santa-cruz	tarija	2026-07-14	SAMA	195.00	BOB	manual-seed
2026-07-11T06:00:00Z	santa-cruz	tarija	2026-07-14	Trans Copacabana	215.00	BOB	manual-seed
2026-07-12T06:00:00Z	santa-cruz	tarija	2026-07-15	SAMA	255.00	BOB	manual-seed
2026-07-12T06:00:00Z	santa-cruz	tarija	2026-07-15	Trans Copacabana	280.00	BOB	manual-seed
2026-07-13T06:00:00Z	santa-cruz	tarija	2026-07-16	SAMA	230.00	BOB	manual-seed
2026-07-13T06:00:00Z	santa-cruz	tarija	2026-07-16	Trans Copacabana	250.00	BOB	manual-seed
2026-07-13T06:00:00Z	santa-cruz	tarija	2026-07-17	SAMA	240.00	BOB	manual-seed
2026-07-13T06:00:00Z	santa-cruz	tarija	2026-07-17	Trans Copacabana	260.00	BOB	manual-seed
2026-07-13T06:00:00Z	santa-cruz	tarija	2026-07-18	SAMA	245.00	BOB	manual-seed
2026-07-13T06:00:00Z	santa-cruz	tarija	2026-07-18	Trans Copacabana	265.00	BOB	manual-seed
2026-07-13T06:00:00Z	santa-cruz	tarija	2026-07-19	SAMA	235.00	BOB	manual-seed
2026-07-13T06:00:00Z	santa-cruz	tarija	2026-07-19	Trans Copacabana	255.00	BOB	manual-seed
2026-07-13T06:00:00Z	la-paz	cochabamba	2026-07-15	El Dorado	45.00	BOB	manual-seed
2026-07-13T06:00:00Z	la-paz	cochabamba	2026-07-16	El Dorado	42.00	BOB	manual-seed
2026-07-13T23:27:39Z	santa-cruz	tarija	2026-07-14	SAMA	233.00	BOB	daily-fetch
2026-07-13T23:27:39Z	santa-cruz	tarija	2026-07-14	Trans Copacabana	251.00	BOB	daily-fetch
2026-07-13T23:27:39Z	santa-cruz	tarija	2026-07-14	El Dorado	269.00	BOB	daily-fetch
2026-07-13T23:27:39Z	santa-cruz	tarija	2026-07-14	Bolivar	287.00	BOB	daily-fetch
2026-07-13T23:27:39Z	santa-cruz	tarija	2026-07-15	SAMA	235.00	BOB	daily-fetch
2026-07-13T23:27:39Z	santa-cruz	tarija	2026-07-15	Trans Copacabana	253.00	BOB	daily-fetch
2026-07-13T23:27:39Z	santa-cruz	tarija	2026-07-15	El Dorado	271.00	BOB	daily-fetch
2026-07-13T23:27:39Z	santa-cruz	tarija	2026-07-15	Bolivar	289.00	BOB	daily-fetch
2026-07-13T23:27:39Z	santa-cruz	tarija	2026-07-16	SAMA	237.00	BOB	daily-fetch
2026-07-13T23:27:39Z	santa-cruz	tarija	2026-07-16	Trans Copacabana	255.00	BOB	daily-fetch
2026-07-13T23:27:39Z	santa-cruz	tarija	2026-07-16	El Dorado	273.00	BOB	daily-fetch
2026-07-13T23:27:39Z	santa-cruz	tarija	2026-07-16	Bolivar	291.00	BOB	daily-fetch
2026-07-13T23:27:39Z	santa-cruz	tarija	2026-07-17	SAMA	239.00	BOB	daily-fetch
2026-07-13T23:27:39Z	santa-cruz	tarija	2026-07-17	Trans Copacabana	257.00	BOB	daily-fetch
2026-07-13T23:27:39Z	santa-cruz	tarija	2026-07-17	El Dorado	275.00	BOB	daily-fetch
2026-07-13T23:27:39Z	santa-cruz	tarija	2026-07-17	Bolivar	293.00	BOB	daily-fetch
2026-07-13T23:27:39Z	santa-cruz	tarija	2026-07-18	SAMA	241.00	BOB	daily-fetch
2026-07-13T23:27:39Z	santa-cruz	tarija	2026-07-18	Trans Copacabana	259.00	BOB	daily-fetch
2026-07-13T23:27:39Z	santa-cruz	tarija	2026-07-18	El Dorado	277.00	BOB	daily-fetch
2026-07-13T23:27:39Z	santa-cruz	tarija	2026-07-18	Bolivar	295.00	BOB	daily-fetch
2026-07-13T23:27:39Z	santa-cruz	tarija	2026-07-19	SAMA	243.00	BOB	daily-fetch
2026-07-13T23:27:39Z	santa-cruz	tarija	2026-07-19	Trans Copacabana	261.00	BOB	daily-fetch
2026-07-13T23:27:39Z	santa-cruz	tarija	2026-07-19	El Dorado	279.00	BOB	daily-fetch
2026-07-13T23:27:39Z	santa-cruz	tarija	2026-07-19	Bolivar	297.00	BOB	daily-fetch
2026-07-13T23:27:39Z	santa-cruz	tarija	2026-07-20	SAMA	266.00	BOB	daily-fetch
2026-07-13T23:27:39Z	santa-cruz	tarija	2026-07-20	Trans Copacabana	284.00	BOB	daily-fetch
2026-07-13T23:27:39Z	santa-cruz	tarija	2026-07-20	El Dorado	302.00	BOB	daily-fetch
2026-07-13T23:27:39Z	santa-cruz	tarija	2026-07-20	Bolivar	320.00	BOB	daily-fetch
2026-07-13T23:27:39Z	santa-cruz	tarija	2026-07-21	SAMA	268.00	BOB	daily-fetch
2026-07-13T23:27:39Z	santa-cruz	tarija	2026-07-21	Trans Copacabana	286.00	BOB	daily-fetch
2026-07-13T23:27:39Z	santa-cruz	tarija	2026-07-21	El Dorado	304.00	BOB	daily-fetch
2026-07-13T23:27:39Z	santa-cruz	tarija	2026-07-21	Bolivar	322.00	BOB	daily-fetch
2026-07-13T23:27:39Z	santa-cruz	tarija	2026-07-22	SAMA	270.00	BOB	daily-fetch
2026-07-13T23:27:39Z	santa-cruz	tarija	2026-07-22	Trans Copacabana	288.00	BOB	daily-fetch
2026-07-13T23:27:39Z	santa-cruz	tarija	2026-07-22	El Dorado	306.00	BOB	daily-fetch
2026-07-13T23:27:39Z	santa-cruz	tarija	2026-07-22	Bolivar	324.00	BOB	daily-fetch
2026-07-13T23:27:39Z	santa-cruz	tarija	2026-07-23	SAMA	272.00	BOB	daily-fetch
2026-07-13T23:27:39Z	santa-cruz	tarija	2026-07-23	Trans Copacabana	290.00	BOB	daily-fetch
2026-07-13T23:27:39Z	santa-cruz	tarija	2026-07-23	El Dorado	308.00	BOB	daily-fetch
2026-07-13T23:27:39Z	santa-cruz	tarija	2026-07-23	Bolivar	326.00	BOB	daily-fetch
2026-07-13T23:27:39Z	santa-cruz	tarija	2026-07-24	SAMA	274.00	BOB	daily-fetch
2026-07-13T23:27:39Z	santa-cruz	tarija	2026-07-24	Trans Copacabana	292.00	BOB	daily-fetch
2026-07-13T23:27:39Z	santa-cruz	tarija	2026-07-24	El Dorado	310.00	BOB	daily-fetch
2026-07-13T23:27:39Z	santa-cruz	tarija	2026-07-24	Bolivar	328.00	BOB	daily-fetch
2026-07-13T23:27:39Z	santa-cruz	tarija	2026-07-25	SAMA	251.00	BOB	daily-fetch
2026-07-13T23:27:39Z	santa-cruz	tarija	2026-07-25	Trans Copacabana	269.00	BOB	daily-fetch
2026-07-13T23:27:39Z	santa-cruz	tarija	2026-07-25	El Dorado	287.00	BOB	daily-fetch
2026-07-13T23:27:39Z	santa-cruz	tarija	2026-07-25	Bolivar	305.00	BOB	daily-fetch
2026-07-13T23:27:39Z	santa-cruz	tarija	2026-07-26	SAMA	253.00	BOB	daily-fetch
2026-07-13T23:27:39Z	santa-cruz	tarija	2026-07-26	Trans Copacabana	271.00	BOB	daily-fetch
2026-07-13T23:27:39Z	santa-cruz	tarija	2026-07-26	El Dorado	289.00	BOB	daily-fetch
2026-07-13T23:27:39Z	santa-cruz	tarija	2026-07-26	Bolivar	307.00	BOB	daily-fetch
2026-07-13T23:27:39Z	santa-cruz	tarija	2026-07-27	SAMA	255.00	BOB	daily-fetch
2026-07-13T23:27:39Z	santa-cruz	tarija	2026-07-27	Trans Copacabana	273.00	BOB	daily-fetch
2026-07-13T23:27:39Z	santa-cruz	tarija	2026-07-27	El Dorado	291.00	BOB	daily-fetch
2026-07-13T23:27:39Z	santa-cruz	tarija	2026-07-27	Bolivar	309.00	BOB	daily-fetch
2026-07-13T23:27:39Z	santa-cruz	la-paz	2026-07-14	SAMA	195.00	BOB	daily-fetch
2026-07-13T23:27:39Z	santa-cruz	la-paz	2026-07-14	Trans Copacabana	213.00	BOB	daily-fetch
2026-07-13T23:27:39Z	santa-cruz	la-paz	2026-07-14	El Dorado	231.00	BOB	daily-fetch
2026-07-13T23:27:39Z	santa-cruz	la-paz	2026-07-14	Bolivar	249.00	BOB	daily-fetch
2026-07-13T23:27:39Z	santa-cruz	la-paz	2026-07-15	SAMA	197.00	BOB	daily-fetch
2026-07-13T23:27:39Z	santa-cruz	la-paz	2026-07-15	Trans Copacabana	215.00	BOB	daily-fetch
2026-07-13T23:27:39Z	santa-cruz	la-paz	2026-07-15	El Dorado	233.00	BOB	daily-fetch
2026-07-13T23:27:39Z	santa-cruz	la-paz	2026-07-15	Bolivar	251.00	BOB	daily-fetch
2026-07-13T23:27:39Z	santa-cruz	la-paz	2026-07-16	SAMA	199.00	BOB	daily-fetch
2026-07-13T23:27:39Z	santa-cruz	la-paz	2026-07-16	Trans Copacabana	217.00	BOB	daily-fetch
2026-07-13T23:27:39Z	santa-cruz	la-paz	2026-07-16	El Dorado	235.00	BOB	daily-fetch
2026-07-13T23:27:39Z	santa-cruz	la-paz	2026-07-16	Bolivar	253.00	BOB	daily-fetch
2026-07-13T23:27:39Z	santa-cruz	la-paz	2026-07-17	SAMA	201.00	BOB	daily-fetch
2026-07-13T23:27:39Z	santa-cruz	la-paz	2026-07-17	Trans Copacabana	219.00	BOB	daily-fetch
2026-07-13T23:27:39Z	santa-cruz	la-paz	2026-07-17	El Dorado	237.00	BOB	daily-fetch
2026-07-13T23:27:39Z	santa-cruz	la-paz	2026-07-17	Bolivar	255.00	BOB	daily-fetch
2026-07-13T23:27:39Z	santa-cruz	la-paz	2026-07-18	SAMA	203.00	BOB	daily-fetch
2026-07-13T23:27:39Z	santa-cruz	la-paz	2026-07-18	Trans Copacabana	221.00	BOB	daily-fetch
2026-07-13T23:27:39Z	santa-cruz	la-paz	2026-07-18	El Dorado	239.00	BOB	daily-fetch
2026-07-13T23:27:39Z	santa-cruz	la-paz	2026-07-18	Bolivar	257.00	BOB	daily-fetch
2026-07-13T23:27:39Z	santa-cruz	la-paz	2026-07-19	SAMA	205.00	BOB	daily-fetch
2026-07-13T23:27:39Z	santa-cruz	la-paz	2026-07-19	Trans Copacabana	223.00	BOB	daily-fetch
2026-07-13T23:27:39Z	santa-cruz	la-paz	2026-07-19	El Dorado	241.00	BOB	daily-fetch
2026-07-13T23:27:39Z	santa-cruz	la-paz	2026-07-19	Bolivar	259.00	BOB	daily-fetch
2026-07-13T23:27:39Z	santa-cruz	la-paz	2026-07-20	SAMA	228.00	BOB	daily-fetch
2026-07-13T23:27:39Z	santa-cruz	la-paz	2026-07-20	Trans Copacabana	246.00	BOB	daily-fetch
2026-07-13T23:27:39Z	santa-cruz	la-paz	2026-07-20	El Dorado	264.00	BOB	daily-fetch
2026-07-13T23:27:39Z	santa-cruz	la-paz	2026-07-20	Bolivar	282.00	BOB	daily-fetch
2026-07-13T23:27:39Z	santa-cruz	la-paz	2026-07-21	SAMA	230.00	BOB	daily-fetch
2026-07-13T23:27:39Z	santa-cruz	la-paz	2026-07-21	Trans Copacabana	248.00	BOB	daily-fetch
2026-07-13T23:27:39Z	santa-cruz	la-paz	2026-07-21	El Dorado	266.00	BOB	daily-fetch
2026-07-13T23:27:39Z	santa-cruz	la-paz	2026-07-21	Bolivar	284.00	BOB	daily-fetch
2026-07-13T23:27:39Z	santa-cruz	la-paz	2026-07-22	SAMA	232.00	BOB	daily-fetch
2026-07-13T23:27:39Z	santa-cruz	la-paz	2026-07-22	Trans Copacabana	250.00	BOB	daily-fetch
2026-07-13T23:27:39Z	santa-cruz	la-paz	2026-07-22	El Dorado	268.00	BOB	daily-fetch
2026-07-13T23:27:39Z	santa-cruz	la-paz	2026-07-22	Bolivar	286.00	BOB	daily-fetch
2026-07-13T23:27:39Z	santa-cruz	la-paz	2026-07-23	SAMA	234.00	BOB	daily-fetch
2026-07-13T23:27:39Z	santa-cruz	la-paz	2026-07-23	Trans Copacabana	252.00	BOB	daily-fetch
2026-07-13T23:27:39Z	santa-cruz	la-paz	2026-07-23	El Dorado	270.00	BOB	daily-fetch
2026-07-13T23:27:39Z	santa-cruz	la-paz	2026-07-23	Bolivar	288.00	BOB	daily-fetch
2026-07-13T23:27:39Z	santa-cruz	la-paz	2026-07-24	SAMA	236.00	BOB	daily-fetch
2026-07-13T23:27:39Z	santa-cruz	la-paz	2026-07-24	Trans Copacabana	254.00	BOB	daily-fetch
2026-07-13T23:27:39Z	santa-cruz	la-paz	2026-07-24	El Dorado	272.00	BOB	daily-fetch
2026-07-13T23:27:39Z	santa-cruz	la-paz	2026-07-24	Bolivar	290.00	BOB	daily-fetch
2026-07-13T23:27:39Z	santa-cruz	la-paz	2026-07-25	SAMA	213.00	BOB	daily-fetch
2026-07-13T23:27:39Z	santa-cruz	la-paz	2026-07-25	Trans Copacabana	231.00	BOB	daily-fetch
2026-07-13T23:27:39Z	santa-cruz	la-paz	2026-07-25	El Dorado	249.00	BOB	daily-fetch
2026-07-13T23:27:39Z	santa-cruz	la-paz	2026-07-25	Bolivar	267.00	BOB	daily-fetch
2026-07-13T23:27:39Z	santa-cruz	la-paz	2026-07-26	SAMA	215.00	BOB	daily-fetch
2026-07-13T23:27:39Z	santa-cruz	la-paz	2026-07-26	Trans Copacabana	233.00	BOB	daily-fetch
2026-07-13T23:27:39Z	santa-cruz	la-paz	2026-07-26	El Dorado	251.00	BOB	daily-fetch
2026-07-13T23:27:39Z	santa-cruz	la-paz	2026-07-26	Bolivar	269.00	BOB	daily-fetch
2026-07-13T23:27:39Z	santa-cruz	la-paz	2026-07-27	SAMA	217.00	BOB	daily-fetch
2026-07-13T23:27:39Z	santa-cruz	la-paz	2026-07-27	Trans Copacabana	235.00	BOB	daily-fetch
2026-07-13T23:27:39Z	santa-cruz	la-paz	2026-07-27	El Dorado	253.00	BOB	daily-fetch
2026-07-13T23:27:39Z	santa-cruz	la-paz	2026-07-27	Bolivar	271.00	BOB	daily-fetch
2026-07-13T23:27:39Z	la-paz	cochabamba	2026-07-14	SAMA	224.00	BOB	daily-fetch
2026-07-13T23:27:39Z	la-paz	cochabamba	2026-07-14	Trans Copacabana	242.00	BOB	daily-fetch
2026-07-13T23:27:39Z	la-paz	cochabamba	2026-07-14	El Dorado	260.00	BOB	daily-fetch
2026-07-13T23:27:39Z	la-paz	cochabamba	2026-07-14	Bolivar	278.00	BOB	daily-fetch
2026-07-13T23:27:39Z	la-paz	cochabamba	2026-07-15	SAMA	226.00	BOB	daily-fetch
2026-07-13T23:27:39Z	la-paz	cochabamba	2026-07-15	Trans Copacabana	244.00	BOB	daily-fetch
2026-07-13T23:27:39Z	la-paz	cochabamba	2026-07-15	El Dorado	262.00	BOB	daily-fetch
2026-07-13T23:27:39Z	la-paz	cochabamba	2026-07-15	Bolivar	280.00	BOB	daily-fetch
2026-07-13T23:27:39Z	la-paz	cochabamba	2026-07-16	SAMA	228.00	BOB	daily-fetch
2026-07-13T23:27:39Z	la-paz	cochabamba	2026-07-16	Trans Copacabana	246.00	BOB	daily-fetch
2026-07-13T23:27:39Z	la-paz	cochabamba	2026-07-16	El Dorado	264.00	BOB	daily-fetch
2026-07-13T23:27:39Z	la-paz	cochabamba	2026-07-16	Bolivar	282.00	BOB	daily-fetch
2026-07-13T23:27:39Z	la-paz	cochabamba	2026-07-17	SAMA	230.00	BOB	daily-fetch
2026-07-13T23:27:39Z	la-paz	cochabamba	2026-07-17	Trans Copacabana	248.00	BOB	daily-fetch
2026-07-13T23:27:39Z	la-paz	cochabamba	2026-07-17	El Dorado	266.00	BOB	daily-fetch
2026-07-13T23:27:39Z	la-paz	cochabamba	2026-07-17	Bolivar	284.00	BOB	daily-fetch
2026-07-13T23:27:39Z	la-paz	cochabamba	2026-07-18	SAMA	232.00	BOB	daily-fetch
2026-07-13T23:27:39Z	la-paz	cochabamba	2026-07-18	Trans Copacabana	250.00	BOB	daily-fetch
2026-07-13T23:27:39Z	la-paz	cochabamba	2026-07-18	El Dorado	268.00	BOB	daily-fetch
2026-07-13T23:27:39Z	la-paz	cochabamba	2026-07-18	Bolivar	286.00	BOB	daily-fetch
2026-07-13T23:27:39Z	la-paz	cochabamba	2026-07-19	SAMA	234.00	BOB	daily-fetch
2026-07-13T23:27:39Z	la-paz	cochabamba	2026-07-19	Trans Copacabana	252.00	BOB	daily-fetch
2026-07-13T23:27:39Z	la-paz	cochabamba	2026-07-19	El Dorado	270.00	BOB	daily-fetch
2026-07-13T23:27:39Z	la-paz	cochabamba	2026-07-19	Bolivar	288.00	BOB	daily-fetch
2026-07-13T23:27:39Z	la-paz	cochabamba	2026-07-20	SAMA	257.00	BOB	daily-fetch
2026-07-13T23:27:39Z	la-paz	cochabamba	2026-07-20	Trans Copacabana	275.00	BOB	daily-fetch
2026-07-13T23:27:39Z	la-paz	cochabamba	2026-07-20	El Dorado	293.00	BOB	daily-fetch
2026-07-13T23:27:39Z	la-paz	cochabamba	2026-07-20	Bolivar	311.00	BOB	daily-fetch
2026-07-13T23:27:39Z	la-paz	cochabamba	2026-07-21	SAMA	259.00	BOB	daily-fetch
2026-07-13T23:27:39Z	la-paz	cochabamba	2026-07-21	Trans Copacabana	277.00	BOB	daily-fetch
2026-07-13T23:27:39Z	la-paz	cochabamba	2026-07-21	El Dorado	295.00	BOB	daily-fetch
2026-07-13T23:27:39Z	la-paz	cochabamba	2026-07-21	Bolivar	313.00	BOB	daily-fetch
2026-07-13T23:27:39Z	la-paz	cochabamba	2026-07-22	SAMA	261.00	BOB	daily-fetch
2026-07-13T23:27:39Z	la-paz	cochabamba	2026-07-22	Trans Copacabana	279.00	BOB	daily-fetch
2026-07-13T23:27:39Z	la-paz	cochabamba	2026-07-22	El Dorado	297.00	BOB	daily-fetch
2026-07-13T23:27:39Z	la-paz	cochabamba	2026-07-22	Bolivar	315.00	BOB	daily-fetch
2026-07-13T23:27:39Z	la-paz	cochabamba	2026-07-23	SAMA	263.00	BOB	daily-fetch
2026-07-13T23:27:39Z	la-paz	cochabamba	2026-07-23	Trans Copacabana	281.00	BOB	daily-fetch
2026-07-13T23:27:39Z	la-paz	cochabamba	2026-07-23	El Dorado	299.00	BOB	daily-fetch
2026-07-13T23:27:39Z	la-paz	cochabamba	2026-07-23	Bolivar	317.00	BOB	daily-fetch
2026-07-13T23:27:39Z	la-paz	cochabamba	2026-07-24	SAMA	265.00	BOB	daily-fetch
2026-07-13T23:27:39Z	la-paz	cochabamba	2026-07-24	Trans Copacabana	283.00	BOB	daily-fetch
2026-07-13T23:27:39Z	la-paz	cochabamba	2026-07-24	El Dorado	301.00	BOB	daily-fetch
2026-07-13T23:27:39Z	la-paz	cochabamba	2026-07-24	Bolivar	319.00	BOB	daily-fetch
2026-07-13T23:27:39Z	la-paz	cochabamba	2026-07-25	SAMA	242.00	BOB	daily-fetch
2026-07-13T23:27:39Z	la-paz	cochabamba	2026-07-25	Trans Copacabana	260.00	BOB	daily-fetch
2026-07-13T23:27:39Z	la-paz	cochabamba	2026-07-25	El Dorado	278.00	BOB	daily-fetch
2026-07-13T23:27:39Z	la-paz	cochabamba	2026-07-25	Bolivar	296.00	BOB	daily-fetch
2026-07-13T23:27:39Z	la-paz	cochabamba	2026-07-26	SAMA	244.00	BOB	daily-fetch
2026-07-13T23:27:39Z	la-paz	cochabamba	2026-07-26	Trans Copacabana	262.00	BOB	daily-fetch
2026-07-13T23:27:39Z	la-paz	cochabamba	2026-07-26	El Dorado	280.00	BOB	daily-fetch
2026-07-13T23:27:39Z	la-paz	cochabamba	2026-07-26	Bolivar	298.00	BOB	daily-fetch
2026-07-13T23:27:39Z	la-paz	cochabamba	2026-07-27	SAMA	246.00	BOB	daily-fetch
2026-07-13T23:27:39Z	la-paz	cochabamba	2026-07-27	Trans Copacabana	264.00	BOB	daily-fetch
2026-07-13T23:27:39Z	la-paz	cochabamba	2026-07-27	El Dorado	282.00	BOB	daily-fetch
2026-07-13T23:27:39Z	la-paz	cochabamba	2026-07-27	Bolivar	300.00	BOB	daily-fetch
2026-07-13T23:27:39Z	cochabamba	santa-cruz	2026-07-14	SAMA	253.00	BOB	daily-fetch
2026-07-13T23:27:39Z	cochabamba	santa-cruz	2026-07-14	Trans Copacabana	271.00	BOB	daily-fetch
2026-07-13T23:27:39Z	cochabamba	santa-cruz	2026-07-14	El Dorado	289.00	BOB	daily-fetch
2026-07-13T23:27:39Z	cochabamba	santa-cruz	2026-07-14	Bolivar	307.00	BOB	daily-fetch
2026-07-13T23:27:39Z	cochabamba	santa-cruz	2026-07-15	SAMA	255.00	BOB	daily-fetch
2026-07-13T23:27:39Z	cochabamba	santa-cruz	2026-07-15	Trans Copacabana	273.00	BOB	daily-fetch
2026-07-13T23:27:39Z	cochabamba	santa-cruz	2026-07-15	El Dorado	291.00	BOB	daily-fetch
2026-07-13T23:27:39Z	cochabamba	santa-cruz	2026-07-15	Bolivar	309.00	BOB	daily-fetch
2026-07-13T23:27:39Z	cochabamba	santa-cruz	2026-07-16	SAMA	257.00	BOB	daily-fetch
2026-07-13T23:27:39Z	cochabamba	santa-cruz	2026-07-16	Trans Copacabana	275.00	BOB	daily-fetch
2026-07-13T23:27:39Z	cochabamba	santa-cruz	2026-07-16	El Dorado	293.00	BOB	daily-fetch
2026-07-13T23:27:39Z	cochabamba	santa-cruz	2026-07-16	Bolivar	311.00	BOB	daily-fetch
2026-07-13T23:27:39Z	cochabamba	santa-cruz	2026-07-17	SAMA	259.00	BOB	daily-fetch
2026-07-13T23:27:39Z	cochabamba	santa-cruz	2026-07-17	Trans Copacabana	277.00	BOB	daily-fetch
2026-07-13T23:27:39Z	cochabamba	santa-cruz	2026-07-17	El Dorado	295.00	BOB	daily-fetch
2026-07-13T23:27:39Z	cochabamba	santa-cruz	2026-07-17	Bolivar	313.00	BOB	daily-fetch
2026-07-13T23:27:39Z	cochabamba	santa-cruz	2026-07-18	SAMA	261.00	BOB	daily-fetch
2026-07-13T23:27:39Z	cochabamba	santa-cruz	2026-07-18	Trans Copacabana	279.00	BOB	daily-fetch
2026-07-13T23:27:39Z	cochabamba	santa-cruz	2026-07-18	El Dorado	297.00	BOB	daily-fetch
2026-07-13T23:27:39Z	cochabamba	santa-cruz	2026-07-18	Bolivar	315.00	BOB	daily-fetch
2026-07-13T23:27:39Z	cochabamba	santa-cruz	2026-07-19	SAMA	263.00	BOB	daily-fetch
2026-07-13T23:27:39Z	cochabamba	santa-cruz	2026-07-19	Trans Copacabana	281.00	BOB	daily-fetch
2026-07-13T23:27:39Z	cochabamba	santa-cruz	2026-07-19	El Dorado	299.00	BOB	daily-fetch
2026-07-13T23:27:39Z	cochabamba	santa-cruz	2026-07-19	Bolivar	317.00	BOB	daily-fetch
2026-07-13T23:27:39Z	cochabamba	santa-cruz	2026-07-20	SAMA	146.00	BOB	daily-fetch
2026-07-13T23:27:39Z	cochabamba	santa-cruz	2026-07-20	Trans Copacabana	164.00	BOB	daily-fetch
2026-07-13T23:27:39Z	cochabamba	santa-cruz	2026-07-20	El Dorado	182.00	BOB	daily-fetch
2026-07-13T23:27:39Z	cochabamba	santa-cruz	2026-07-20	Bolivar	200.00	BOB	daily-fetch
2026-07-13T23:27:39Z	cochabamba	santa-cruz	2026-07-21	SAMA	148.00	BOB	daily-fetch
2026-07-13T23:27:39Z	cochabamba	santa-cruz	2026-07-21	Trans Copacabana	166.00	BOB	daily-fetch
2026-07-13T23:27:39Z	cochabamba	santa-cruz	2026-07-21	El Dorado	184.00	BOB	daily-fetch
2026-07-13T23:27:39Z	cochabamba	santa-cruz	2026-07-21	Bolivar	202.00	BOB	daily-fetch
2026-07-13T23:27:39Z	cochabamba	santa-cruz	2026-07-22	SAMA	150.00	BOB	daily-fetch
2026-07-13T23:27:39Z	cochabamba	santa-cruz	2026-07-22	Trans Copacabana	168.00	BOB	daily-fetch
2026-07-13T23:27:39Z	cochabamba	santa-cruz	2026-07-22	El Dorado	186.00	BOB	daily-fetch
2026-07-13T23:27:39Z	cochabamba	santa-cruz	2026-07-22	Bolivar	204.00	BOB	daily-fetch
2026-07-13T23:27:39Z	cochabamba	santa-cruz	2026-07-23	SAMA	152.00	BOB	daily-fetch
2026-07-13T23:27:39Z	cochabamba	santa-cruz	2026-07-23	Trans Copacabana	170.00	BOB	daily-fetch
2026-07-13T23:27:39Z	cochabamba	santa-cruz	2026-07-23	El Dorado	188.00	BOB	daily-fetch
2026-07-13T23:27:39Z	cochabamba	santa-cruz	2026-07-23	Bolivar	206.00	BOB	daily-fetch
2026-07-13T23:27:39Z	cochabamba	santa-cruz	2026-07-24	SAMA	154.00	BOB	daily-fetch
2026-07-13T23:27:39Z	cochabamba	santa-cruz	2026-07-24	Trans Copacabana	172.00	BOB	daily-fetch
2026-07-13T23:27:39Z	cochabamba	santa-cruz	2026-07-24	El Dorado	190.00	BOB	daily-fetch
2026-07-13T23:27:39Z	cochabamba	santa-cruz	2026-07-24	Bolivar	208.00	BOB	daily-fetch
2026-07-13T23:27:39Z	cochabamba	santa-cruz	2026-07-25	SAMA	131.00	BOB	daily-fetch
